Data;Hora;Empuxo;Tempo
12-11-2024;10-41-46;0.0098;0.0
12-11-2024;10-41-47;0.0687;0.094
12-11-2024;10-41-47;0.1962;0.188
12-11-2024;10-41-47;0.2453;0.282
12-11-2024;10-41-47;0.2551;0.377
12-11-2024;10-41-47;0.2845;0.471
12-11-2024;10-41-47;0.2943;0.565
12-11-2024;10-41-47;0.3041;0.659
12-11-2024;10-41-47;0.3237;0.753
12-11-2024;10-41-47;0.3335;0.847
12-11-2024;10-41-47;0.3532;0.96
12-11-2024;10-41-47;0.3532;1.039
12-11-2024;10-41-48;0.3532;1.134
12-11-2024;10-41-48;0.3532;1.227
12-11-2024;10-41-48;0.3728;1.322
12-11-2024;10-41-48;0.412;1.416
12-11-2024;10-41-48;0.4414;1.51
12-11-2024;10-41-48;0.4611;1.604
12-11-2024;10-41-48;0.4807;1.699
12-11-2024;10-41-48;0.4807;1.792
12-11-2024;10-41-48;0.4709;1.887
12-11-2024;10-41-48;0.4513;1.981
12-11-2024;10-41-48;0.4414;2.076
12-11-2024;10-41-49;0.4414;2.169
12-11-2024;10-41-49;0.4316;2.264
12-11-2024;10-41-49;0.4414;2.357
12-11-2024;10-41-49;0.4513;2.458
12-11-2024;10-41-49;0.4414;2.545
12-11-2024;10-41-49;0.4414;2.644
12-11-2024;10-41-49;0.4414;2.733
12-11-2024;10-41-49;0.4414;2.842
12-11-2024;10-41-49;0.4611;2.962
12-11-2024;10-41-49;0.4611;3.05
12-11-2024;10-41-50;0.4513;3.144
12-11-2024;10-41-50;0.4414;3.238
12-11-2024;10-41-50;0.4611;3.333
12-11-2024;10-41-50;0.4807;3.426
12-11-2024;10-41-50;0.4905;3.521
12-11-2024;10-41-50;0.5101;3.69
12-11-2024;10-41-50;0.5297;3.716
12-11-2024;10-41-50;0.5297;3.77
12-11-2024;10-41-50;0.5199;3.865
12-11-2024;10-41-50;0.5003;3.962
12-11-2024;10-41-50;0.4022;4.065
12-11-2024;10-41-51;0.3237;4.22
12-11-2024;10-41-51;0.2649;4.244
12-11-2024;10-41-51;0.2453;4.336
12-11-2024;10-41-51;0.2256;4.43
12-11-2024;10-41-51;0.206;4.525
12-11-2024;10-41-51;0.1864;4.619
12-11-2024;10-41-51;0.1373;4.713
12-11-2024;10-41-51;0.1275;4.807
