Data;Hora;Empuxo;Tempo
10/10/2024;16:23:12;-0.009810000000000001;10.339
10/10/2024;16:23:12;-0.009810000000000001;10.437
10/10/2024;16:23:12;-0.009810000000000001;10.528
10/10/2024;16:23:12;-0.009810000000000001;10.625
10/10/2024;16:23:12;-0.009810000000000001;10.716
10/10/2024;16:23:12;-0.009810000000000001;10.816
10/10/2024;16:23:12;-0.009810000000000001;10.906
10/10/2024;16:23:12;-0.009810000000000001;11.0
10/10/2024;16:23:13;-0.009810000000000001;11.094
10/10/2024;16:23:13;-0.009810000000000001;11.188
10/10/2024;16:23:13;-0.019620000000000002;11.282
10/10/2024;16:23:13;-0.02943;11.376
10/10/2024;16:23:13;-0.019620000000000002;11.471
10/10/2024;16:23:13;-0.009810000000000001;11.564
10/10/2024;16:23:13;-0.0;11.659
10/10/2024;16:23:13;0.009810000000000001;11.753
10/10/2024;16:23:13;0.009810000000000001;11.847
10/10/2024;16:23:13;0.009810000000000001;11.941
10/10/2024;16:23:14;0.009810000000000001;12.035
10/10/2024;16:23:14;0.0;12.129
10/10/2024;16:23:14;0.0;12.242
10/10/2024;16:23:14;0.0;12.321
10/10/2024;16:23:14;0.0;12.415
10/10/2024;16:23:14;-0.0;12.509
10/10/2024;16:23:14;-0.009810000000000001;12.604
10/10/2024;16:23:14;-0.009810000000000001;12.697
10/10/2024;16:23:14;-0.0;12.792
10/10/2024;16:23:14;0.009810000000000001;12.885
10/10/2024;16:23:14;0.009810000000000001;12.98
10/10/2024;16:23:15;0.0;13.074
10/10/2024;16:23:15;0.019620000000000002;13.168
10/10/2024;16:23:15;0.02943;13.262
10/10/2024;16:23:15;0.02943;13.357
10/10/2024;16:23:15;0.02943;13.45
10/10/2024;16:23:15;0.02943;13.545
10/10/2024;16:23:15;0.02943;13.638
10/10/2024;16:23:15;0.02943;13.737
10/10/2024;16:23:15;0.02943;13.825
10/10/2024;16:23:15;0.02943;13.923
10/10/2024;16:23:15;0.019620000000000002;14.013
10/10/2024;16:23:16;0.019620000000000002;14.111
10/10/2024;16:23:16;0.019620000000000002;14.202
10/10/2024;16:23:16;0.019620000000000002;14.299
10/10/2024;16:23:16;0.009810000000000001;14.39
10/10/2024;16:23:16;0.019620000000000002;14.487
10/10/2024;16:23:16;0.019620000000000002;14.578
10/10/2024;16:23:16;0.019620000000000002;14.675
10/10/2024;16:23:16;0.019620000000000002;14.766
10/10/2024;16:23:16;0.019620000000000002;14.864
10/10/2024;16:23:16;0.019620000000000002;14.954
10/10/2024;16:23:17;0.019620000000000002;15.052
